Claim,LLM_Response,Fact-Check Verdict,FEVER Label
A.J. Styles is a cruiserweight and is an athlete in a combat sport.,yes,SUPPORTS,NOT ENOUGH INFO
Down With Love is a 2003 romantic sitcom movie,yes,SUPPORTS,SUPPORTS
There existed a drama called The Wonder Years.,yes,SUPPORTS,SUPPORTS
There is a movie called The Chaperone (film) which wasn't directed by Michael Bay only.,yes,SUPPORTS,SUPPORTS
There is a movie called The Chaperone (film) which wasn't directed by Michael Bay only.,yes,SUPPORTS,SUPPORTS
Steve Windom is currently the only Democratic party official to hold a statewide political office after the American Revolution.,no,REFUTES,REFUTES
The Latvian Soviet Socialist Republic was the richest republic of the Soviet Union in 1985.,no,REFUTES,NOT ENOUGH INFO
There does not exist a film called The Little Prince (2015 film).,no,SUPPORTS,REFUTES
There does not exist a film called The Little Prince (2015 film).,no,SUPPORTS,REFUTES
There does not exist a film called The Little Prince (2015 film).,no,SUPPORTS,REFUTES
There does not exist a film called The Little Prince (2015 film).,no,SUPPORTS,REFUTES
There does not exist a film called The Little Prince (2015 film).,no,SUPPORTS,REFUTES
There exists a motorcycle manufacturer called Mercedes-Benz.,no,REFUTES,NOT ENOUGH INFO
"Camden, New Jersey is the home of a school that was established as the South Jersey Law School between 1922 and 1930.",yes,SUPPORTS,SUPPORTS
Edward Cullen was created and was created by Stephenie Meyer as a character in her Twilight series.,yes,SUPPORTS,NOT ENOUGH INFO
"New Orleans Pelicans compete in a professional basketball league founded in New York City on June 6 , 1946",no,REFUTES,SUPPORTS
"New Orleans Pelicans compete in a professional basketball league founded in New York City on June 6 , 1946",no,REFUTES,SUPPORTS
James VI and I began the British colonization of the Americas 4 years before 1611.,"Yes, the British colonization of the Americas began in 1611.",REFUTES,NOT ENOUGH INFO
Finland is sometimes considered partly of Scandinavia,"Yes, it is part of the Scandinavian countries.",NOT ENOUGH INFO,SUPPORTS
"There is a car, it is called No Way Out.",no,SUPPORTS,REFUTES
The area of Madhya Pradesh is larger than the area of Hòn Đất District.,yes,NOT ENOUGH INFO,SUPPORTS
The area of Madhya Pradesh is larger than the area of Hòn Đất District.,yes,NOT ENOUGH INFO,SUPPORTS
The area of Madhya Pradesh is larger than the area of Hòn Đất District.,yes,NOT ENOUGH INFO,SUPPORTS
A person who has won Emmy awards twice for outstanding choreography has worked with a K-pop singer from Luxembourg.,no,REFUTES,NOT ENOUGH INFO
Artpop was Gaga's second consecutive number-one record in the United States after 2015.,Yes,SUPPORTS,REFUTES
"There was a nation-state, it was called Yugoslavia.",yes,SUPPORTS,NOT ENOUGH INFO
Talulah Riley appeared in a 2007 British comedy film and the sixth in a long-running series of British films based on the works of cartoonist Ronald Searle,yes,SUPPORTS,SUPPORTS
Talulah Riley appeared in a 2007 British comedy film and the sixth in a long-running series of British films based on the works of cartoonist Ronald Searle,yes,SUPPORTS,SUPPORTS
There exists an anime called The Punisher.,yes,SUPPORTS,NOT ENOUGH INFO
T2 Trainspotting is directed by someone whose debut film Slumdog Millionaire won the BAFTA Award for Best British Film,yes,SUPPORTS,REFUTES
T2 Trainspotting is directed by someone whose debut film Slumdog Millionaire won the BAFTA Award for Best British Film,yes,SUPPORTS,REFUTES
"Black recording is an original technique with a machine which processes its contents in a fixed graphic, converting it from analog to digital, then to a digital system to form tones.",no,REFUTES,REFUTES
"Black recording is an original technique with a machine which processes its contents in a fixed graphic, converting it from analog to digital, then to a digital system to form tones.",no,REFUTES,REFUTES
"Black recording is an original technique with a machine which processes its contents in a fixed graphic, converting it from analog to digital, then to a digital system to form tones.",no,REFUTES,REFUTES
The area of Province of Vicenza is larger than the area of Jyotisar.,yes,NOT ENOUGH INFO,SUPPORTS
The area of Province of Vicenza is larger than the area of Jyotisar.,yes,NOT ENOUGH INFO,SUPPORTS
The area of Province of Vicenza is larger than the area of Jyotisar.,yes,NOT ENOUGH INFO,SUPPORTS
There exists a 2011 film called The Chaperone (film).,yes,SUPPORTS,SUPPORTS
There exists a 2011 film called The Chaperone (film).,yes,SUPPORTS,SUPPORTS
Black Canary first appeared in Flash Comics,The Black Canary first appeared in Flash Comics in the early 1990s.,NOT ENOUGH INFO,SUPPORTS
Farida Jalal received several awards for her work in the Telugu Film Awards and the Hindi Film Awards.,yes,SUPPORTS,NOT ENOUGH INFO
One Dance reached number one in the Netherlands in the 2000s.,yes,SUPPORTS,REFUTES
One Dance reached number one in the Netherlands in the 2000s.,yes,SUPPORTS,REFUTES
One Dance reached number one in the Netherlands in the 2000s.,yes,SUPPORTS,REFUTES
One Dance reached number one in the Netherlands in the 2000s.,yes,SUPPORTS,REFUTES
One Dance reached number one in the Netherlands in the 2000s.,yes,SUPPORTS,REFUTES
One Dance reached number one in the Netherlands in the 2000s.,yes,SUPPORTS,REFUTES
One Dance reached number one in the Netherlands in the 2000s.,yes,SUPPORTS,REFUTES
One Dance reached number one in the Netherlands in the 2000s.,yes,SUPPORTS,REFUTES
One Dance reached number one in the Netherlands in the 2000s.,yes,SUPPORTS,REFUTES
One Dance reached number one in the Netherlands in the 2000s.,yes,SUPPORTS,REFUTES
One Dance reached number one in the Netherlands in the 2000s.,yes,SUPPORTS,REFUTES
Friday the 13th is the approximate time at which the person Caleb McLaughlin started living.,no,REFUTES,NOT ENOUGH INFO
Friday the 13th is the approximate time at which the person Caleb McLaughlin started living.,no,REFUTES,NOT ENOUGH INFO
Prague's historic center was first included in the UNESCO list of World Heritage Sites in the 2010s.,yes,SUPPORTS,REFUTES
Prague's historic center was first included in the UNESCO list of World Heritage Sites in the 2010s.,yes,SUPPORTS,REFUTES
Prague's historic center was first included in the UNESCO list of World Heritage Sites in the 2010s.,yes,SUPPORTS,REFUTES
Prague's historic center was first included in the UNESCO list of World Heritage Sites in the 2010s.,yes,SUPPORTS,REFUTES
Prague's historic center was first included in the UNESCO list of World Heritage Sites in the 2010s.,yes,SUPPORTS,REFUTES
Prague's historic center was first included in the UNESCO list of World Heritage Sites in the 2010s.,yes,SUPPORTS,REFUTES
"There existed a Bollywood film, it went by the name of The Invisible Man.",yes,SUPPORTS,NOT ENOUGH INFO
"November 10, 1994 is not the approximate time at which the person Zoey Deutch took their final breath.",no,SUPPORTS,SUPPORTS
"November 10, 1994 is not the approximate time at which the person Zoey Deutch took their final breath.",no,SUPPORTS,SUPPORTS
"November 10, 1994 is not the approximate time at which the person Zoey Deutch took their final breath.",no,SUPPORTS,SUPPORTS
"November 10, 1994 is not the approximate time at which the person Zoey Deutch took their final breath.",no,SUPPORTS,SUPPORTS
"There is a National Council, it is called UNICEF UK.",yes,NOT ENOUGH INFO,NOT ENOUGH INFO
Recognition has been given to Bala for his labor,"Yes, he has been recognized for his work.",SUPPORTS,SUPPORTS
The area of Saccodon is larger than the area of Majhot.,no,REFUTES,Not Enough Info
Sheryl Lee appeared in a film written and directed by a person who was ranked as the third-greatest comedian by a UK survey,"Yes, Sheryl Lee appeared in a film written and directed by a comedian named Bill Murray.",NOT ENOUGH INFO,NOT ENOUGH INFO
"Road House an action film by Hollywood director and writer currently residing in Rochester , New York.",no,REFUTES,REFUTES
"Road House an action film by Hollywood director and writer currently residing in Rochester , New York.",no,REFUTES,REFUTES
"There existed a uniform system of writing established in the Qin dynasty, it went by the name of There.",no,REFUTES,SUPPORTS
Coeliac disease is treated by preserving a healthy diet,It is not true. It is a condition that can be treated with medication.,REFUTES,SUPPORTS
Taran Killam is an American writer known for his television work on an American live action sketch comedy and variety show created by Dan Schneider ,Yes,SUPPORTS,SUPPORTS
Taran Killam is an American writer known for his television work on an American live action sketch comedy and variety show created by Dan Schneider ,Yes,SUPPORTS,SUPPORTS
"There exists a 1937 adaptation of The Tempest, it goes by the name of Caesar.",no,REFUTES,REFUTES
"There exists a 1937 adaptation of The Tempest, it goes by the name of Caesar.",no,REFUTES,REFUTES
"There exists a 1937 adaptation of The Tempest, it goes by the name of Caesar.",no,REFUTES,REFUTES
"There exists a 1937 adaptation of The Tempest, it goes by the name of Caesar.",no,REFUTES,REFUTES
Marjorie Gross was a writer and is unable to write.,no,REFUTES,REFUTES
Marjorie Gross was a writer and is unable to write.,no,REFUTES,REFUTES
Queen Elizabeth was born after her father became Duke of York.,"no, she was born after her father became Duke of York.",SUPPORTS,SUPPORTS
Queen Elizabeth was born after her father became Duke of York.,"no, she was born after her father became Duke of York.",SUPPORTS,SUPPORTS
Queen Elizabeth was born after her father became Duke of York.,"no, she was born after her father became Duke of York.",SUPPORTS,SUPPORTS
Queen Elizabeth was born after her father became Duke of York.,"no, she was born after her father became Duke of York.",SUPPORTS,SUPPORTS
Queen Elizabeth was born after her father became Duke of York.,"no, she was born after her father became Duke of York.",SUPPORTS,SUPPORTS
Queen Elizabeth was born after her father became Duke of York.,"no, she was born after her father became Duke of York.",SUPPORTS,SUPPORTS
"The Incredibles 2 will be shown on a 70 mm motion picture film format and a set of cinema projection standards developed in Canada in the late 1960s and early 1970s by Graeme Ferguson , Roman Kroitor , Robert Kerr , and William C. Shaw .",no,REFUTES,SUPPORTS
"The Incredibles 2 will be shown on a 70 mm motion picture film format and a set of cinema projection standards developed in Canada in the late 1960s and early 1970s by Graeme Ferguson , Roman Kroitor , Robert Kerr , and William C. Shaw .",no,REFUTES,SUPPORTS
Asclepiads were originally a biological family.,no,REFUTES,Not Enough Info
There is not a politician called Loretta Sanchez.,no,SUPPORTS,REFUTES
The area of Province of Vicenza is larger than the area of Ateli.,yes,NOT ENOUGH INFO,SUPPORTS
The area of Province of Vicenza is larger than the area of Ateli.,yes,NOT ENOUGH INFO,SUPPORTS
The area of Province of Vicenza is larger than the area of Ateli.,yes,NOT ENOUGH INFO,SUPPORTS
"Syracuse, New York, had a sparse metropolitan population of three hundred fifty before 2020 and after 2010.",It was a densely populated city in the 1980s.,REFUTES,REFUTES
"Balibo (film) involves zero person who collects , writes , or distributes news or other current information to the public.",no,SUPPORTS,REFUTES
"Balibo (film) involves zero person who collects , writes , or distributes news or other current information to the public.",no,SUPPORTS,REFUTES
There is an architect called Faye Resnick.,yes,SUPPORTS,NOT ENOUGH INFO
Harold Macmillan only served as the President of the the country which ruled over India till 1947.,no,REFUTES,NOT ENOUGH INFO
There exists a film called Mutiny on the Bounty.,yes,SUPPORTS,SUPPORTS
There exists a film called Mutiny on the Bounty.,yes,SUPPORTS,SUPPORTS
There exists a film called Mutiny on the Bounty.,yes,SUPPORTS,SUPPORTS
There exists a film called Mutiny on the Bounty.,yes,SUPPORTS,SUPPORTS
There exists a film called Mutiny on the Bounty.,yes,SUPPORTS,SUPPORTS
There exists a film called Mutiny on the Bounty.,yes,SUPPORTS,SUPPORTS
There exists a film called Mutiny on the Bounty.,yes,SUPPORTS,SUPPORTS
"University of Chicago Law School is ranked first for ""Faculty quality based on Canadian Academy of Arts and Sciences Membership.""",no,REFUTES,REFUTES
Topman belongs to a British multinational retailing company and is part of a retailing company.,yes,SUPPORTS,NOT ENOUGH INFO
The younger brother of Ayushmann Khurrana directed Dangal.,no,REFUTES,REFUTES
The younger brother of Ayushmann Khurrana directed Dangal.,no,REFUTES,REFUTES
The younger brother of Ayushmann Khurrana directed Dangal.,no,REFUTES,REFUTES
"An actor who ranked 28th on Forbes magazine 's ranking of world 's highest paid actors from June 2014 to June 2015 , bringing in $ 16million never shared a movie with Leonardo DiCaprio.",no,REFUTES,REFUTES
"An actor who ranked 28th on Forbes magazine 's ranking of world 's highest paid actors from June 2014 to June 2015 , bringing in $ 16million never shared a movie with Leonardo DiCaprio.",no,REFUTES,REFUTES
Lhotse is lower than Mount Everest.,yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
"There exists an actor, it goes by the name of Jonah Hill.",yes,SUPPORTS,SUPPORTS
The first modern national university established in China is in the world's most populous office building.,no,REFUTES,NOT ENOUGH INFO
"The person best known for co-creating  a musical comedy about two young Mormon missionaries who travel to Africa to preach the Mormon religion was born February 2, 1975",no,REFUTES,REFUTES
"The person best known for co-creating  a musical comedy about two young Mormon missionaries who travel to Africa to preach the Mormon religion was born February 2, 1975",no,REFUTES,REFUTES
The Thin Red Line (1998 film) features a performance by only one American actor.,no,REFUTES,NOT ENOUGH INFO
There exists no remix album called Reanimation called There.,no,SUPPORTS,REFUTES
Caleb McLaughlin was never born,No one has ever proven this.,NOT ENOUGH INFO,REFUTES
Caleb McLaughlin was never born,No one has ever proven this.,NOT ENOUGH INFO,REFUTES
Villa Park hosted the 90th FA Community Shield 4 years before 2016.,"Yes, it was held in 2016.",REFUTES,SUPPORTS
Moonlight was not filmed in any seaport city at the southeastern corner of the U.S. state of Florida and its Atlantic coast,no,SUPPORTS,REFUTES
Moonlight was not filmed in any seaport city at the southeastern corner of the U.S. state of Florida and its Atlantic coast,no,SUPPORTS,REFUTES
"There exists a farmer, it goes by the name of John Frusciante.",yes,SUPPORTS,NOT ENOUGH INFO
There does not exist an American that goes by the name of Vic Mensa.,no,SUPPORTS,REFUTES
The House of the Spirits is about the life of a young lady named Clara during the military authoritarian in pig,no,REFUTES,REFUTES
The House of the Spirits is about the life of a young lady named Clara during the military authoritarian in pig,no,REFUTES,REFUTES
Ctesiphon was an orator in Athens during the reign of Alexander the Great,Ctesiphon was a famous orator in ancient Greece.,NOT ENOUGH INFO,SUPPORTS
The Woman in Black was abandoned by Hammer Film Productions after 2000 in favor of working on Freddie vs. Jason.,no,SUPPORTS,REFUTES
The Woman in Black was abandoned by Hammer Film Productions after 2000 in favor of working on Freddie vs. Jason.,no,SUPPORTS,REFUTES
The Woman in Black was abandoned by Hammer Film Productions after 2000 in favor of working on Freddie vs. Jason.,no,SUPPORTS,REFUTES
One of Macklemore's singles was number one in Canada between 2006 and 2014.,"Macklemore's song ""Stay"" was number one in Canada between 2006 and 2014.",NOT ENOUGH INFO,NOT ENOUGH INFO
There did not exist a science fiction horror television series that goes by the name of The Invisible Man.,no,SUPPORTS,SUPPORTS
The Invisible Man definitely was not a science fiction horror television series.,no,SUPPORTS,SUPPORTS
There does not exist a town that goes by the name of Manchester by the Sea.,no,SUPPORTS,SUPPORTS
"the 2000s is not the approximate time at which the person James, Viscount Severn was born.",yes,REFUTES,REFUTES
The area of Sắc Tứ Tam Bảo Temple is larger than the area of Diyarbakır Province.,no,REFUTES,REFUTES
The area of Sắc Tứ Tam Bảo Temple is larger than the area of Diyarbakır Province.,no,REFUTES,REFUTES
The area of Sắc Tứ Tam Bảo Temple is larger than the area of Diyarbakır Province.,no,REFUTES,REFUTES
There exists a township that goes by the name of Birmingham.,yes,SUPPORTS,NOT ENOUGH INFO
The English Wikipedia is definitely not an edition of a free online almanac.,no,SUPPORTS,SUPPORTS
"PacSun is not headquartered in a city in Orange County , California , part of the Los Angeles metropolitan area",No,SUPPORTS,REFUTES
"PacSun is not headquartered in a city in Orange County , California , part of the Los Angeles metropolitan area",No,SUPPORTS,REFUTES
There is an American author with five kids called Dan Brown.,"no, he is not an author.",REFUTES,NOT ENOUGH INFO
There is not a global energy company called Live Nation Entertainment.,no,SUPPORTS,SUPPORTS
Thomas Jefferson helped to organize a political party which became a formal party during the second term of U.S president Andrew Jackson.,no,REFUTES,NOT ENOUGH INFO
Villa Park hosted the President of Turkey during her 2012 visit to the country which hosted the 2012 Summer Olympic Games.,no,REFUTES,NOT ENOUGH INFO
The Nice Guys is not an American comedy film.,no,SUPPORTS,REFUTES
Chris Bosh won his first NBA Finals title in the first-decade of the twenty-first century.,no,REFUTES,REFUTES
Chris Bosh won his first NBA Finals title in the first-decade of the twenty-first century.,no,REFUTES,REFUTES
The area of Nove is larger than the area of Nandurbar district.,no,REFUTES,REFUTES
The area of Nove is larger than the area of Nandurbar district.,no,REFUTES,REFUTES
The area of Nove is larger than the area of Nandurbar district.,no,REFUTES,REFUTES
"There is a movie called Trouble with the Curve, a squid has no involvement in its production.",no,SUPPORTS,SUPPORTS
There is not a film that is categorized as a slasher called Scream 2.,"Yes, there is a sequel to the original film.",REFUTES,REFUTES
Elizabeth II became the longest-reigning queen more than 90 years after her father was married.,no,REFUTES,SUPPORTS
Elizabeth II became the longest-reigning queen more than 90 years after her father was married.,no,REFUTES,SUPPORTS
Elizabeth II became the longest-reigning queen more than 90 years after her father was married.,no,REFUTES,SUPPORTS
Elizabeth II became the longest-reigning queen more than 90 years after her father was married.,no,REFUTES,SUPPORTS
Elizabeth II became the longest-reigning queen more than 90 years after her father was married.,no,REFUTES,SUPPORTS
Elizabeth II became the longest-reigning queen more than 90 years after her father was married.,no,REFUTES,SUPPORTS
There exists a former Lawrence Kotkin Associates bond trader called Leslie Alexander.,yes,SUPPORTS,NOT ENOUGH INFO
There exists a former Lawrence Kotkin Associates bond trader called Leslie Alexander.,yes,SUPPORTS,NOT ENOUGH INFO
There exists a former Lawrence Kotkin Associates bond trader called Leslie Alexander.,yes,SUPPORTS,NOT ENOUGH INFO
There exists a former Lawrence Kotkin Associates bond trader called Leslie Alexander.,yes,SUPPORTS,NOT ENOUGH INFO
There exists a former Lawrence Kotkin Associates bond trader called Leslie Alexander.,yes,SUPPORTS,NOT ENOUGH INFO
There exists an American automobile that goes by the name of Chinatown.,no,REFUTES,NOT ENOUGH INFO
There is a religious leader called William Cohen.,no,REFUTES,NOT ENOUGH INFO
The ruins of the ancient Roman town of Herculaneum were teleported to a location away from Naples,no,REFUTES,REFUTES
The ruins of the ancient Roman town of Herculaneum were teleported to a location away from Naples,no,REFUTES,REFUTES
The Woman in Black was abandoned by Hammer Film Productions 3 years before 2015 in favor of working on Freddie vs. Jason.,no,SUPPORTS,REFUTES
The Woman in Black was abandoned by Hammer Film Productions 3 years before 2015 in favor of working on Freddie vs. Jason.,no,SUPPORTS,REFUTES
The Woman in Black was abandoned by Hammer Film Productions 3 years before 2015 in favor of working on Freddie vs. Jason.,no,SUPPORTS,REFUTES
There is a Chinese singer called Jiang Wen.,yes,NOT ENOUGH INFO,NOT ENOUGH INFO
The Woman in Black was abandoned by Hammer Film Productions in the 2010s in favor of working on Freddie vs. Jason.,no,SUPPORTS,REFUTES
The Woman in Black was abandoned by Hammer Film Productions in the 2010s in favor of working on Freddie vs. Jason.,no,SUPPORTS,REFUTES
The Woman in Black was abandoned by Hammer Film Productions in the 2010s in favor of working on Freddie vs. Jason.,no,SUPPORTS,REFUTES
The Hardest Logic Puzzle Ever is a puzzle in Italian with the closest Latin Romance to English in the languages it is based on.,no,REFUTES,REFUTES
The Hardest Logic Puzzle Ever is a puzzle in Italian with the closest Latin Romance to English in the languages it is based on.,no,REFUTES,REFUTES
Harris Jayaraj is an Indian man from a state in South India,Harris Jayaraj is a Tamil actor and singer.,NOT ENOUGH INFO,NOT ENOUGH INFO
"There exists a diet drink, it goes by the name of Touch My Body.",yes,SUPPORTS,REFUTES
"There exists a diet drink, it goes by the name of Touch My Body.",yes,SUPPORTS,REFUTES
"There exists a diet drink, it goes by the name of Touch My Body.",yes,SUPPORTS,REFUTES
"There exists a diet drink, it goes by the name of Touch My Body.",yes,SUPPORTS,REFUTES
"There exists a diet drink, it goes by the name of Touch My Body.",yes,SUPPORTS,REFUTES
"There exists a diet drink, it goes by the name of Touch My Body.",yes,SUPPORTS,REFUTES
"Vassilis Palaiokostas was also significant in his relationship with his brother, Nikos Palaiokostas, who established a close friendship with him in the prison and in the media.",no,REFUTES,NOT ENOUGH INFO
Sweet Home Alabama is a rock song that was written in reply to two songs from Neil Young's album Harvest and was written in reply to Neil Young's song Southern Man.,yes,SUPPORTS,NOT ENOUGH INFO
Oscar Isaac was the main character in Star Wars: The Force Awakens and was featured in Star Wars: The Force Awakens.,yes,SUPPORTS,NOT ENOUGH INFO
The area of Burdur Province is larger than the area of San Cristóbal de La Laguna.,no,REFUTES,SUPPORTS
The area of Burdur Province is larger than the area of San Cristóbal de La Laguna.,no,REFUTES,SUPPORTS
The area of Burdur Province is larger than the area of San Cristóbal de La Laguna.,no,REFUTES,SUPPORTS
Efraim Diveroli is an American citizen born in Miami.,"Efraim Diveroli was born in Miami, Florida.",SUPPORTS,NOT ENOUGH INFO
"There was an American singer, most famous for his album 'Graduation' called Sonny Bono.",yes,SUPPORTS,NOT ENOUGH INFO
"There was an American singer, most famous for his album 'Graduation' called Sonny Bono.",yes,SUPPORTS,NOT ENOUGH INFO
"There exists a rich company, it goes by the name of Planet Hollywood Las Vegas is owned by an American gaming corporation and it.",yes,SUPPORTS,NOT ENOUGH INFO
The area of Denizli Province is larger than the area of Shorapur.,yes,SUPPORTS,SUPPORTS
The area of Denizli Province is larger than the area of Shorapur.,yes,SUPPORTS,SUPPORTS
The area of Denizli Province is larger than the area of Shorapur.,yes,SUPPORTS,SUPPORTS
There exists a mobile personal computer called The IPhone 4.,no,REFUTES,SUPPORTS
There exists a mobile personal computer called The IPhone 4.,no,REFUTES,SUPPORTS
The second largest sportswear manufacturer in the world also designs lingerie for women.,no,REFUTES,NOT ENOUGH INFO
Optical power budget is also used in the measurement of optical performance in the transmission system.,yes,SUPPORTS,NOT ENOUGH INFO
The Battle of France between 1930 and 1936 is also known as the Fall of France.,yes,NOT ENOUGH INFO,NOT ENOUGH INFO
There is a novel containing apples in a title that is a part of cultural movement that began hundred years after the early 1820s.,no,REFUTES,SUPPORTS
There is a novel containing apples in a title that is a part of cultural movement that began hundred years after the early 1820s.,no,REFUTES,SUPPORTS
Halsey signed her first recording contract 5 years before 2019 to Astralwerks.,no,REFUTES,SUPPORTS
Red Dust is a 2000 novel written by a South African.,yes,SUPPORTS,SUPPORTS
Salman Rushdie was the writer of a novel published in 1981 and is a German politician.,no,REFUTES,REFUTES
Salman Rushdie was the writer of a novel published in 1981 and is a German politician.,no,REFUTES,REFUTES
There does not exist an unadapted novel that goes by the name of The Maze Runner.,no,SUPPORTS,SUPPORTS
There does not exist an unadapted novel that goes by the name of The Maze Runner.,no,SUPPORTS,SUPPORTS
There does not exist an unadapted novel that goes by the name of The Maze Runner.,no,SUPPORTS,SUPPORTS
There does not exist an unadapted novel that goes by the name of The Maze Runner.,no,SUPPORTS,SUPPORTS
There does not exist an unadapted novel that goes by the name of The Maze Runner.,no,SUPPORTS,SUPPORTS
There does not exist an unadapted novel that goes by the name of The Maze Runner.,no,SUPPORTS,SUPPORTS
There does not exist an unadapted novel that goes by the name of The Maze Runner.,no,SUPPORTS,SUPPORTS
There does not exist an unadapted novel that goes by the name of The Maze Runner.,no,SUPPORTS,SUPPORTS
There does not exist an unadapted novel that goes by the name of The Maze Runner.,no,SUPPORTS,SUPPORTS
There does not exist an unadapted novel that goes by the name of The Maze Runner.,no,SUPPORTS,SUPPORTS
There does not exist an unadapted novel that goes by the name of The Maze Runner.,no,SUPPORTS,SUPPORTS
The Battle of France after 1920 is also known as the Fall of France.,no,REFUTES,NOT ENOUGH INFO
"There exists a boxer, it goes by the name of Nate Diaz.",yes,SUPPORTS,NOT ENOUGH INFO
There exists an American rocket scientist called Jack Dylan Grazer.,yes,SUPPORTS,NOT ENOUGH INFO
There is an original work called The Beguiled.,yes,SUPPORTS,REFUTES
There is an original work called The Beguiled.,yes,SUPPORTS,REFUTES
There is an original work called The Beguiled.,yes,SUPPORTS,REFUTES
There is an original work called The Beguiled.,yes,SUPPORTS,REFUTES
"There exists an Australian producer, it goes by the name of Yvonne Strahovski.",yes,SUPPORTS,NOT ENOUGH INFO
"Lucy Hale was in a series that was a spin-off of American Idol , but with younger contestants , and had the same production team as American Idol.",yes,SUPPORTS,SUPPORTS
"Lucy Hale was in a series that was a spin-off of American Idol , but with younger contestants , and had the same production team as American Idol.",yes,SUPPORTS,SUPPORTS
There is a karate fighter called Shannon Lee.,yes,SUPPORTS,NOT ENOUGH INFO
There is a karate fighter called Shannon Lee.,yes,SUPPORTS,NOT ENOUGH INFO
Daag: A Poem of Love is a 1973 Bollywood romantic drama film produced and directed by someone who won eleven National Film Awards and six Filmfare awards,yes,SUPPORTS,REFUTES
Daag: A Poem of Love is a 1973 Bollywood romantic drama film produced and directed by someone who won eleven National Film Awards and six Filmfare awards,yes,SUPPORTS,REFUTES
Prague's historic center was first included in the UNESCO list of World Heritage Sites in the ninties of the twentieth century.,yes,SUPPORTS,SUPPORTS
Prague's historic center was first included in the UNESCO list of World Heritage Sites in the ninties of the twentieth century.,yes,SUPPORTS,SUPPORTS
Prague's historic center was first included in the UNESCO list of World Heritage Sites in the ninties of the twentieth century.,yes,SUPPORTS,SUPPORTS
Prague's historic center was first included in the UNESCO list of World Heritage Sites in the ninties of the twentieth century.,yes,SUPPORTS,SUPPORTS
Prague's historic center was first included in the UNESCO list of World Heritage Sites in the ninties of the twentieth century.,yes,SUPPORTS,SUPPORTS
Prague's historic center was first included in the UNESCO list of World Heritage Sites in the ninties of the twentieth century.,yes,SUPPORTS,SUPPORTS
There is a friendly global soccer exhibition called The Africa Cup of Nations.,no,REFUTES,REFUTES
There is a friendly global soccer exhibition called The Africa Cup of Nations.,no,REFUTES,REFUTES
There is a friendly global soccer exhibition called The Africa Cup of Nations.,no,REFUTES,REFUTES
There is a friendly global soccer exhibition called The Africa Cup of Nations.,no,REFUTES,REFUTES
There is a friendly global soccer exhibition called The Africa Cup of Nations.,no,REFUTES,REFUTES
There is a friendly global soccer exhibition called The Africa Cup of Nations.,no,REFUTES,REFUTES
There is a friendly global soccer exhibition called The Africa Cup of Nations.,no,REFUTES,REFUTES
There is a friendly global soccer exhibition called The Africa Cup of Nations.,no,REFUTES,REFUTES
There is a friendly global soccer exhibition called The Africa Cup of Nations.,no,REFUTES,REFUTES
There is a friendly global soccer exhibition called The Africa Cup of Nations.,no,REFUTES,REFUTES
There is a friendly global soccer exhibition called The Africa Cup of Nations.,no,REFUTES,REFUTES
There is a friendly global soccer exhibition called The Africa Cup of Nations.,no,REFUTES,REFUTES
There is a friendly global soccer exhibition called The Africa Cup of Nations.,no,REFUTES,REFUTES
Southampton F.C. came in second in the First Division in the eighties of the twentieth century -- 1984.,yes,SUPPORTS,SUPPORTS
